address,referrer,key_index,portfolio_index,usd_amount,rama_wei,tx_hash,timestamp
0x4eD77D371f0f4eaE1a5eDD3a8fc3d74e2e5dd4c7,0xc0358Bcd0F329644A9A034f9F2C4a4838ae819A5,1,1,633,63300000000000000,0x7d661b0ab360aeb562523442d669b7974de6c68af84bbd2cf740421bae7dcf21,2025-10-24 05:46:59
0x4eD77D371f0f4eaE1a5eDD3a8fc3d74e2e5dd4c7,0xc0358Bcd0F329644A9A034f9F2C4a4838ae819A5,1,2,727,72700000000000000,0xae2cdf826b151d404a97a64686d13d8ae8d44d57dfddeb2e17d2497689632e7a,2025-10-24 06:32:36
0x4eD77D371f0f4eaE1a5eDD3a8fc3d74e2e5dd4c7,0xc0358Bcd0F329644A9A034f9F2C4a4838ae819A5,1,3,1000,100000000000000000,0x7766fe6baf43942a411c1c3dd65b2a0fa5c17ac97b98b19bde7d110cdf275c20,2025-10-24 08:12:10
0x4eD77D371f0f4eaE1a5eDD3a8fc3d74e2e5dd4c7,0xc0358Bcd0F329644A9A034f9F2C4a4838ae819A5,1,4,1369.92,136992000000000000,0xdeb8feed5e4ba1923a47e1bfe540a0200a9b596f1a19f4f41c312a84f61ccc6a,2025-10-24 08:14:42
0x90E903158eB442478628cBD330aa385de873E466,0xc0358Bcd0F329644A9A034f9F2C4a4838ae819A5,2,1,194.62,19462000000000000,0x91776dd4b61bf93c1e57d7f8e658e6efc08f36eddf6279247d1c4fd76087e972,2025-10-24 08:14:53
0x90E903158eB442478628cBD330aa385de873E466,0xc0358Bcd0F329644A9A034f9F2C4a4838ae819A5,2,2,251.44,25144000000000000,0xa7c07f4f459a28edd42f00bd967713f4e762a937bd8a6cbcd00252928a3c10af,2025-10-24 08:14:59
0x90E903158eB442478628cBD330aa385de873E466,0xc0358Bcd0F329644A9A034f9F2C4a4838ae819A5,2,3,361.55,36155000000000000,0xd40f18c35365f10c19fc4edf2a5f03a58b0e475e31183809b35a884e222fabbb,2025-10-24 08:15:06
